INFO 2023-07-12 19:06:45 (8929) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Tumkur University successfuly
INFO 2023-07-12 19:06:45 (8929) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added University of    Agricultural Sciences, Bangalore successfuly
INFO 2023-07-12 19:06:45 (8930) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added University of    Agricultural Sciences, Dharwad successfuly
INFO 2023-07-12 19:06:45 (8930) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added University of Mysore successfuly
INFO 2023-07-12 19:06:45 (8930) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Visvesvaraya    Technological University successfuly
INFO 2023-07-12 19:06:45 (8931) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Vijayanagara    Sri Krishnadevaraya University successfuly
INFO 2023-07-12 19:06:45 (8931) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Calicut University successfuly
INFO 2023-07-12 19:06:45 (8931) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Cochin University of    Science and Technology successfuly
INFO 2023-07-12 19:06:45 (8931) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Kannur University successfuly
INFO 2023-07-12 19:06:45 (8931) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Kerala Agricultural    University successfuly
INFO 2023-07-12 19:06:45 (8932) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Kerala University of    Fisheries and Ocean Studies successfuly
INFO 2023-07-12 19:06:45 (8932) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Kerala University of    Health Sciences successfuly
INFO 2023-07-12 19:06:45 (8932) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Kerala Veterinary and    Animal Sciences University successfuly
INFO 2023-07-12 19:06:45 (8932) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Mahatma Gandhi    University successfuly
INFO 2023-07-12 19:06:45 (8932) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added National University    of Advanced Legal Studies successfuly
INFO 2023-07-12 19:06:45 (8933) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Sree Sankaracharya    University of Sanskrit successfuly
INFO 2023-07-12 19:06:45 (8933) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added University of Kerala successfuly
