INFO 2023-07-12 19:58:56 (159711) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added anand to gujarat successfuly
INFO 2023-07-12 19:58:56 (159711) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added aravalli to gujarat successfuly
INFO 2023-07-12 19:58:56 (159711) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added banaskantha to gujarat successfuly
INFO 2023-07-12 19:58:56 (159711) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added bharuch to gujarat successfuly
INFO 2023-07-12 19:58:56 (159711) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added bhavnagar to gujarat successfuly
INFO 2023-07-12 19:58:56 (159712) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added botad to gujarat successfuly
INFO 2023-07-12 19:58:56 (159712) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added chhota udaipur to gujarat successfuly
INFO 2023-07-12 19:58:56 (159712) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added dahod to gujarat successfuly
INFO 2023-07-12 19:58:56 (159712) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added dang to gujarat successfuly
INFO 2023-07-12 19:58:56 (159713) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added devbhoomi dwarka to gujarat successfuly
INFO 2023-07-12 19:58:56 (159713) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added gandhinagar to gujarat successfuly
INFO 2023-07-12 19:58:56 (159713) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added gir somnath to gujarat successfuly
INFO 2023-07-12 19:58:56 (159713) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added jamnagar to gujarat successfuly
INFO 2023-07-12 19:58:56 (159713) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added junagadh to gujarat successfuly
INFO 2023-07-12 19:58:56 (159714) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kheda to gujarat successfuly
INFO 2023-07-12 19:58:56 (159714) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kutch to gujarat successfuly
INFO 2023-07-12 19:58:56 (159714) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added mahisagar to gujarat successfuly
INFO 2023-07-12 19:58:56 (159714) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added mehsana to gujarat successfuly
INFO 2023-07-12 19:58:56 (159715) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added morbi to gujarat successfuly
INFO 2023-07-12 19:58:56 (159715) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added narmada to gujarat successfuly
INFO 2023-07-12 19:58:56 (159715) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added navsari to gujarat successfuly
INFO 2023-07-12 19:58:56 (159715) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added panchmahal to gujarat successfuly
INFO 2023-07-12 19:58:56 (159715) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added patan to gujarat successfuly
INFO 2023-07-12 19:58:56 (159716) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added porbandar to gujarat successfuly
INFO 2023-07-12 19:58:56 (159716) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added rajkot to gujarat successfuly
INFO 2023-07-12 19:58:56 (159716) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added sabarkantha to gujarat successfuly
INFO 2023-07-12 19:58:56 (159716) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added surat to gujarat successfuly
INFO 2023-07-12 19:58:56 (159716) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added surendranagar to gujarat successfuly
INFO 2023-07-12 19:58:56 (159717) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added tapi to gujarat successfuly
INFO 2023-07-12 19:58:56 (159717) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added vadodara to gujarat successfuly
INFO 2023-07-12 19:58:56 (159718) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added valsad to gujarat successfuly
INFO 2023-07-12 19:58:56 (159718) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added ambala to haryana successfuly
INFO 2023-07-12 19:58:56 (159718) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added bhiwani to haryana successfuly
INFO 2023-07-12 19:58:56 (159719) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added faridabad to haryana successfuly
INFO 2023-07-12 19:58:56 (159719) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added fatehabad to haryana successfuly
INFO 2023-07-12 19:58:56 (159719) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added gurgaon to haryana successfuly
INFO 2023-07-12 19:58:56 (159725) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added hissar to haryana successfuly
INFO 2023-07-12 19:58:56 (159725) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added jhajjar to haryana successfuly
INFO 2023-07-12 19:58:56 (159726) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added jind to haryana successfuly
INFO 2023-07-12 19:58:56 (159726) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kaithal to haryana successfuly
INFO 2023-07-12 19:58:56 (159726) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added karnal to haryana successfuly
INFO 2023-07-12 19:58:56 (159727) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kurukshetra to haryana successfuly
INFO 2023-07-12 19:58:56 (159727) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added mahendragarh to haryana successfuly
INFO 2023-07-12 19:58:56 (159727) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added mewat to haryana successfuly
INFO 2023-07-12 19:58:56 (159727) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added palwal to haryana successfuly
INFO 2023-07-12 19:58:56 (159728) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added panchkula to haryana successfuly
INFO 2023-07-12 19:58:56 (159728) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added panipat to haryana successfuly
INFO 2023-07-12 19:58:56 (159728) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added rewari to haryana successfuly
INFO 2023-07-12 19:58:56 (159728) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added rohtak to haryana successfuly
INFO 2023-07-12 19:58:56 (159728) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added sirsa to haryana successfuly
INFO 2023-07-12 19:58:56 (159729) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added sonipat to haryana successfuly
INFO 2023-07-12 19:58:56 (159729) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added yamuna nagar to haryana successfuly
INFO 2023-07-12 19:58:56 (159729) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added bilaspur to himachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159729) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added chamba to himachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159730) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added hamirpur to himachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159730) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kangra to himachal    pradesh successfuly
INFO 2023-07-12 19:58:56 (159730) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kinnaur to himachal    pradesh successfuly
